path,p,card,supported,extreme,unsupported,min1,min2,max1,max2,width1,width2,filter_time,spCard1,spCard2,spSupported1,spSupported2,spExtreme1,spExtreme2,spUnsupported1,spUnsupported2,spCard3,spSupported3,spExtreme3,spUnsupported3,spCard4,spSupported4,spExtreme4,spUnsupported4,spCard5,spSupported5,spExtreme5,spUnsupported5,min3,max3,width3,min4,max4,width4,min5,max5,width5
results/algorithm1/alg1-prob-2-100|100|100|100|100-lllll-5_4.json,2,11139,NA,394,NA,9,20,48978,49223,48969,49203,0.4643,100,100,83,80,79,79,17,20,100,79,78,21,100,88,88,12,100,86,83,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-lllll-5_5.json,2,11526,NA,395,NA,18,14,49106,48895,49088,48881,0.4694,100,100,86,83,86,79,14,17,100,84,84,16,100,80,79,20,100,84,83,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-mmmmm-5_1.json,2,7394,46,46,7348,25,16,45043,44197,45018,44181,3.7514,100,100,8,7,8,7,92,93,100,13,13,87,100,12,12,88,100,10,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-mmmmm-5_2.json,2,6314,43,43,6271,26,23,44955,46099,44929,46076,3.171,100,100,7,12,7,12,93,88,100,8,8,92,100,10,10,90,100,10,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-mmmmm-5_3.json,2,7747,45,45,7702,9,26,44031,43459,44022,43433,4.0016,100,100,8,11,8,11,92,89,100,13,13,87,100,7,7,93,100,10,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-mmmmm-5_4.json,2,7050,41,41,7009,23,25,44759,45200,44736,45175,3.9104,100,100,8,7,8,7,92,93,100,12,12,88,100,8,8,92,100,10,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-mmmmm-5_5.json,2,7342,48,46,7294,10,16,45015,45021,45005,45005,3.8818,100,100,8,11,8,11,92,89,100,12,12,88,100,10,10,90,100,10,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-uuull-5_1.json,2,2715,174,172,2541,446,446,49392,49851,48946,49405,0.9746,100,100,84,88,83,88,16,12,100,2,2,98,100,2,2,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-uuull-5_2.json,2,2871,177,170,2694,478,330,49488,49743,49010,49413,0.8068,100,100,86,86,86,84,14,14,100,2,2,98,100,2,2,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-uuull-5_3.json,2,2093,172,167,1921,220,381,49747,49306,49527,48925,0.9593,100,100,83,86,83,83,17,14,100,2,2,98,100,2,2,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-uuull-5_4.json,2,2488,173,164,2315,262,78,49812,49917,49550,49839,0.8663,100,100,83,86,79,84,17,14,100,2,2,98,100,2,2,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-uuull-5_5.json,2,2984,176,168,2808,182,240,49483,49622,49301,49382,1.1381,100,100,86,84,86,83,14,16,100,2,2,98,100,2,2,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-uuuuu-5_1.json,2,1214,6,6,1208,512,390,49998,49994,49486,49604,1.0489,100,100,2,2,2,2,98,98,100,2,2,98,100,2,2,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-uuuuu-5_2.json,2,1301,6,6,1295,567,392,49998,49994,49431,49602,0.9443,100,100,2,2,2,2,98,98,100,2,2,98,100,2,2,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-uuuuu-5_3.json,2,1555,6,6,1549,635,401,49998,49994,49363,49593,0.9328,100,100,2,2,2,2,98,98,100,2,2,98,100,2,2,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
