prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level
l-l_10_10_0.5_2_,10,10,14,0.00298309326171875,0,0.0,l,l,10,10,2,0.5
l-l_10_10_0.5_3_,10,10,11,0.0017969608306884766,0,0.0,l,l,10,10,3,0.5
l-l_10_10_0.5_4_,10,10,19,0.0036230087280273438,0,0.0,l,l,10,10,4,0.5
l-l_10_10_0.5_5_,10,10,12,0.002624034881591797,0,0.0,l,l,10,10,5,0.5
l-m_10_10_0.5_1_,10,10,24,0.0054416656494140625,0,0.0,l,m,10,10,1,0.5
l-m_10_10_0.5_2_,10,10,16,0.002666950225830078,0,0.0,l,m,10,10,2,0.5
l-m_10_10_0.5_3_,10,10,19,0.003448009490966797,0,0.0,l,m,10,10,3,0.5
l-m_10_10_0.5_4_,10,10,25,0.004054069519042969,0,0.0,l,m,10,10,4,0.5
l-m_10_10_0.5_5_,10,10,13,0.0019030570983886719,0,0.0,l,m,10,10,5,0.5
l-u_10_10_0.5_1_,10,10,26,0.004053831100463867,1,0.1,l,u,10,10,1,0.5
l-u_10_10_0.5_2_,10,10,15,0.0016820430755615234,2,0.2,l,u,10,10,2,0.5
l-u_10_10_0.5_3_,10,10,15,0.0026311874389648438,1,0.1,l,u,10,10,3,0.5
l-u_10_10_0.5_4_,10,10,23,0.0027968883514404297,6,0.6,l,u,10,10,4,0.5
l-u_10_10_0.5_5_,10,10,10,0.0013480186462402344,0,0.0,l,u,10,10,5,0.5
m-l_10_10_0.5_1_,10,10,22,0.0036160945892333984,0,0.0,m,l,10,10,1,0.5
m-l_10_10_0.5_2_,10,10,17,0.003185749053955078,0,0.0,m,l,10,10,2,0.5
m-l_10_10_0.5_3_,10,10,16,0.002853870391845703,0,0.0,m,l,10,10,3,0.5
m-l_10_10_0.5_4_,10,10,26,0.004742860794067383,0,0.0,m,l,10,10,4,0.5
m-l_10_10_0.5_5_,10,10,21,0.004827976226806641,0,0.0,m,l,10,10,5,0.5
m-m_10_10_0.5_1_,10,10,19,0.0024738311767578125,0,0.0,m,m,10,10,1,0.5
m-m_10_10_0.5_2_,10,10,26,0.004130125045776367,0,0.0,m,m,10,10,2,0.5
m-m_10_10_0.5_3_,10,10,17,0.0025708675384521484,1,0.1,m,m,10,10,3,0.5
m-m_10_10_0.5_4_,10,10,14,0.0020160675048828125,0,0.0,m,m,10,10,4,0.5
m-m_10_10_0.5_5_,10,10,10,0.0015680789947509766,1,0.1,m,m,10,10,5,0.5
m-u_10_10_0.5_1_,10,10,18,0.0023627281188964844,4,0.4,m,u,10,10,1,0.5
m-u_10_10_0.5_2_,10,10,24,0.0026700496673583984,3,0.3,m,u,10,10,2,0.5
m-u_10_10_0.5_3_,10,10,20,0.003916025161743164,1,0.1,m,u,10,10,3,0.5
m-u_10_10_0.5_4_,10,10,18,0.0022857189178466797,1,0.1,m,u,10,10,4,0.5
m-u_10_10_0.5_5_,10,10,24,0.0024721622467041016,5,0.5,m,u,10,10,5,0.5
u-l_10_10_0.5_1_,10,10,15,0.002337217330932617,0,0.0,u,l,10,10,1,0.5
u-l_10_10_0.5_2_,10,10,10,0.0013391971588134766,0,0.0,u,l,10,10,2,0.5
u-l_10_10_0.5_3_,10,10,16,0.0027840137481689453,0,0.0,u,l,10,10,3,0.5
u-l_10_10_0.5_4_,10,10,11,0.0015101432800292969,0,0.0,u,l,10,10,4,0.5
u-l_10_10_0.5_5_,10,10,13,0.0028438568115234375,0,0.0,u,l,10,10,5,0.5
u-m_10_10_0.5_1_,10,10,12,0.0016870498657226562,0,0.0,u,m,10,10,1,0.5
u-m_10_10_0.5_2_,10,10,14,0.0026929378509521484,0,0.0,u,m,10,10,2,0.5
u-m_10_10_0.5_3_,10,10,15,0.0026090145111083984,0,0.0,u,m,10,10,3,0.5
u-m_10_10_0.5_4_,10,10,9,0.0011320114135742188,0,0.0,u,m,10,10,4,0.5
u-m_10_10_0.5_5_,10,10,11,0.0015249252319335938,0,0.0,u,m,10,10,5,0.5
u-u_10_10_0.5_1_,10,10,26,0.004158973693847656,4,0.4,u,u,10,10,1,0.5
u-u_10_10_0.5_2_,10,10,14,0.0017130374908447266,0,0.0,u,u,10,10,2,0.5
u-u_10_10_0.5_3_,10,10,11,0.002315998077392578,0,0.0,u,u,10,10,3,0.5
u-u_10_10_0.5_4_,10,10,6,0.0006120204925537109,0,0.0,u,u,10,10,4,0.5
u-u_10_10_0.5_5_,10,10,12,0.0017578601837158203,0,0.0,u,u,10,10,5,0.5
l-l_10_10_0.75_1_,10,10,18,0.003483295440673828,0,0.0,l,l,10,10,1,0.75
