prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level,Y_size,Yn_size,G1_size,G2_size
l-l_100_100_extreme_3_,100,100,318,6.80969500541687,0,0.0,l,l,100,100,3,extreme,10000,657,100,100
l-l_100_100_extreme_4_,100,100,460,11.480093955993652,0,0.0,l,l,100,100,4,extreme,10000,866,100,100
l-l_100_100_extreme_5_,100,100,448,12.600728988647461,0,0.0,l,l,100,100,5,extreme,10000,927,100,100
l-m_100_100_extreme_1_,100,100,239,2.677522897720337,3,0.03,l,m,100,100,1,extreme,10000,555,100,62
l-m_100_100_extreme_2_,100,100,261,2.9005041122436523,1,0.01,l,m,100,100,2,extreme,10000,558,100,64
l-m_100_100_extreme_3_,100,100,201,1.351149082183838,2,0.02,l,m,100,100,3,extreme,10000,533,100,61
l-m_100_100_extreme_4_,100,100,152,1.3843369483947754,1,0.01,l,m,100,100,4,extreme,10000,500,100,80
l-m_100_100_extreme_5_,100,100,223,2.4434711933135986,4,0.04,l,m,100,100,5,extreme,10000,594,100,65
l-u_100_100_extreme_1_,100,100,121,0.8524270057678223,66,0.66,l,u,100,100,1,extreme,10000,325,100,15
l-u_100_100_extreme_2_,100,100,152,0.9991638660430908,78,0.78,l,u,100,100,2,extreme,10000,237,100,13
l-u_100_100_extreme_3_,100,100,149,0.9956841468811035,68,0.68,l,u,100,100,3,extreme,10000,300,100,11
l-u_100_100_extreme_4_,100,100,213,1.545759916305542,90,0.9,l,u,100,100,4,extreme,10000,266,100,7
l-u_100_100_extreme_5_,100,100,238,1.661362886428833,89,0.89,l,u,100,100,5,extreme,10000,273,100,11
m-l_100_100_extreme_1_,100,100,232,3.909290313720703,0,0.0,m,l,100,100,1,extreme,10000,594,65,100
m-l_100_100_extreme_2_,100,100,299,4.677896022796631,0,0.0,m,l,100,100,2,extreme,10000,500,80,100
m-l_100_100_extreme_3_,100,100,169,2.493968963623047,0,0.0,m,l,100,100,3,extreme,10000,533,61,100
m-l_100_100_extreme_4_,100,100,237,4.277285814285278,0,0.0,m,l,100,100,4,extreme,10000,558,64,100
m-l_100_100_extreme_5_,100,100,219,3.568385124206543,0,0.0,m,l,100,100,5,extreme,10000,555,62,100
m-m_100_100_extreme_1_,100,100,374,3.9295990467071533,23,0.23,m,m,100,100,1,extreme,10000,673,64,61
m-m_100_100_extreme_2_,100,100,433,4.980717182159424,9,0.09,m,m,100,100,2,extreme,10000,735,59,65
m-m_100_100_extreme_3_,100,100,373,3.6882312297821045,7,0.07,m,m,100,100,3,extreme,10000,565,54,52
m-m_100_100_extreme_4_,100,100,355,4.748112916946411,12,0.12,m,m,100,100,4,extreme,10000,735,65,59
m-m_100_100_extreme_5_,100,100,291,3.216461181640625,11,0.11,m,m,100,100,5,extreme,10000,673,61,64
m-u_100_100_extreme_1_,100,100,103,0.6940550804138184,76,0.76,m,u,100,100,1,extreme,10000,320,100,18
m-u_100_100_extreme_2_,100,100,101,0.6880459785461426,80,0.8,m,u,100,100,2,extreme,10000,232,100,18
m-u_100_100_extreme_3_,100,100,102,0.6730797290802002,78,0.78,m,u,100,100,3,extreme,10000,288,100,21
m-u_100_100_extreme_4_,100,100,101,0.6677439212799072,81,0.81,m,u,100,100,4,extreme,10000,281,100,14
m-u_100_100_extreme_5_,100,100,102,0.6662311553955078,74,0.74,m,u,100,100,5,extreme,10000,282,100,26
