prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level
m-u_150_150_extreme_4_,150,150,173,2.614145040512085,110,0.7333333333333333,m,u,150,150,4,extreme
m-u_150_150_extreme_5_,150,150,151,2.1870970726013184,108,0.72,m,u,150,150,5,extreme
u-l_150_150_extreme_1_,150,150,125,2.5195350646972656,0,0.0,u,l,150,150,1,extreme
u-l_150_150_extreme_2_,150,150,127,2.3161838054656982,0,0.0,u,l,150,150,2,extreme
u-l_150_150_extreme_3_,150,150,114,1.7474451065063477,0,0.0,u,l,150,150,3,extreme
u-l_150_150_extreme_4_,150,150,109,1.6682019233703613,0,0.0,u,l,150,150,4,extreme
u-l_150_150_extreme_5_,150,150,112,1.4171662330627441,0,0.0,u,l,150,150,5,extreme
u-m_150_150_extreme_1_,150,150,107,1.5242300033569336,0,0.0,u,m,150,150,1,extreme
u-m_150_150_extreme_2_,150,150,49,0.5963480472564697,0,0.0,u,m,150,150,2,extreme
u-m_150_150_extreme_3_,150,150,26,0.24813079833984375,0,0.0,u,m,150,150,3,extreme
u-m_150_150_extreme_4_,150,150,54,0.6213462352752686,0,0.0,u,m,150,150,4,extreme
u-m_150_150_extreme_5_,150,150,104,1.3665220737457275,0,0.0,u,m,150,150,5,extreme
u-u_150_150_extreme_1_,150,150,251,4.154446840286255,78,0.52,u,u,150,150,1,extreme
u-u_150_150_extreme_2_,150,150,165,2.5439999103546143,0,0.0,u,u,150,150,2,extreme
u-u_150_150_extreme_3_,150,150,211,3.4807770252227783,0,0.0,u,u,150,150,3,extreme
u-u_150_150_extreme_4_,150,150,209,3.297680139541626,56,0.37333333333333335,u,u,150,150,4,extreme
u-u_150_150_extreme_5_,150,150,138,2.0176351070404053,0,0.0,u,u,150,150,5,extreme
l-l_150_150_0.25_1_,150,150,770,48.28434085845947,0,0.0,l,l,150,150,1,0.25
l-l_150_150_0.25_2_,150,150,729,47.325287103652954,1,0.006666666666666667,l,l,150,150,2,0.25
l-l_150_150_0.25_3_,150,150,549,28.90811586380005,0,0.0,l,l,150,150,3,0.25
l-l_150_150_0.25_4_,150,150,778,52.84538292884827,0,0.0,l,l,150,150,4,0.25
l-l_150_150_0.25_5_,150,150,781,53.24726319313049,0,0.0,l,l,150,150,5,0.25
l-m_150_150_0.25_1_,150,150,519,15.800966024398804,15,0.1,l,m,150,150,1,0.25
l-m_150_150_0.25_2_,150,150,386,10.115314960479736,17,0.11333333333333333,l,m,150,150,2,0.25
l-m_150_150_0.25_3_,150,150,527,14.452230215072632,16,0.10666666666666667,l,m,150,150,3,0.25
l-m_150_150_0.25_4_,150,150,495,15.148522853851318,11,0.07333333333333333,l,m,150,150,4,0.25
l-m_150_150_0.25_5_,150,150,480,17.945086002349854,11,0.07333333333333333,l,m,150,150,5,0.25
l-u_150_150_0.25_1_,150,150,403,6.6380720138549805,146,0.9733333333333334,l,u,150,150,1,0.25
l-u_150_150_0.25_2_,150,150,612,11.55128002166748,140,0.9333333333333333,l,u,150,150,2,0.25
l-u_150_150_0.25_3_,150,150,328,5.591280937194824,141,0.94,l,u,150,150,3,0.25
l-u_150_150_0.25_4_,150,150,450,10.002295017242432,136,0.9066666666666666,l,u,150,150,4,0.25
l-u_150_150_0.25_5_,150,150,467,8.919541120529175,137,0.9133333333333333,l,u,150,150,5,0.25
m-l_150_150_0.25_1_,150,150,355,13.365821838378906,0,0.0,m,l,150,150,1,0.25
m-l_150_150_0.25_2_,150,150,277,11.41124677658081,0,0.0,m,l,150,150,2,0.25
