prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level,Y_size,Yn_size
m-u_10_10_extreme_5_,10,10,19,0.0017712116241455078,5,0.5,m,u,10,10,5,extreme,100,32
u-l_10_10_extreme_1_,10,10,15,0.002191781997680664,0,0.0,u,l,10,10,1,extreme,100,32
u-l_10_10_extreme_2_,10,10,10,0.0011751651763916016,0,0.0,u,l,10,10,2,extreme,100,21
u-l_10_10_extreme_3_,10,10,16,0.0026841163635253906,0,0.0,u,l,10,10,3,extreme,100,39
u-l_10_10_extreme_4_,10,10,11,0.0014100074768066406,0,0.0,u,l,10,10,4,extreme,100,27
u-l_10_10_extreme_5_,10,10,13,0.0026509761810302734,0,0.0,u,l,10,10,5,extreme,100,46
u-m_10_10_extreme_1_,10,10,12,0.0012569427490234375,0,0.0,u,m,10,10,1,extreme,100,32
u-m_10_10_extreme_2_,10,10,12,0.0015571117401123047,0,0.0,u,m,10,10,2,extreme,100,27
u-m_10_10_extreme_3_,10,10,14,0.002213001251220703,0,0.0,u,m,10,10,3,extreme,100,39
u-m_10_10_extreme_4_,10,10,6,0.0006511211395263672,0,0.0,u,m,10,10,4,extreme,100,26
u-m_10_10_extreme_5_,10,10,8,0.0008790493011474609,0,0.0,u,m,10,10,5,extreme,100,36
u-u_10_10_extreme_1_,10,10,15,0.001544952392578125,4,0.4,u,u,10,10,1,extreme,100,38
u-u_10_10_extreme_2_,10,10,11,0.0011830329895019531,0,0.0,u,u,10,10,2,extreme,100,30
u-u_10_10_extreme_3_,10,10,11,0.0011119842529296875,0,0.0,u,u,10,10,3,extreme,100,41
u-u_10_10_extreme_4_,10,10,6,0.0004858970642089844,0,0.0,u,u,10,10,4,extreme,100,30
u-u_10_10_extreme_5_,10,10,7,0.0006501674652099609,0,0.0,u,u,10,10,5,extreme,100,38
l-l_10_10_0.25_1_,10,10,18,0.0033638477325439453,0,0.0,l,l,10,10,1,0.25,100,43
l-l_10_10_0.25_2_,10,10,14,0.0027327537536621094,0,0.0,l,l,10,10,2,0.25,100,42
l-l_10_10_0.25_3_,10,10,11,0.0015900135040283203,0,0.0,l,l,10,10,3,0.25,100,28
l-l_10_10_0.25_4_,10,10,19,0.003309011459350586,0,0.0,l,l,10,10,4,0.25,100,42
l-l_10_10_0.25_5_,10,10,12,0.002382040023803711,0,0.0,l,l,10,10,5,0.25,100,43
l-m_10_10_0.25_1_,10,10,16,0.0025742053985595703,0,0.0,l,m,10,10,1,0.25,100,53
l-m_10_10_0.25_2_,10,10,12,0.001692056655883789,0,0.0,l,m,10,10,2,0.25,100,38
l-m_10_10_0.25_3_,10,10,14,0.0022242069244384766,0,0.0,l,m,10,10,3,0.25,100,36
l-m_10_10_0.25_4_,10,10,15,0.0019540786743164062,0,0.0,l,m,10,10,4,0.25,100,36
l-m_10_10_0.25_5_,10,10,12,0.0015969276428222656,0,0.0,l,m,10,10,5,0.25,100,34
l-u_10_10_0.25_1_,10,10,22,0.0029299259185791016,1,0.1,l,u,10,10,1,0.25,100,46
l-u_10_10_0.25_2_,10,10,14,0.0013921260833740234,2,0.2,l,u,10,10,2,0.25,100,27
l-u_10_10_0.25_3_,10,10,13,0.001783132553100586,1,0.1,l,u,10,10,3,0.25,100,39
l-u_10_10_0.25_4_,10,10,20,0.0020771026611328125,6,0.6,l,u,10,10,4,0.25,100,21
l-u_10_10_0.25_5_,10,10,14,0.0017001628875732422,0,0.0,l,u,10,10,5,0.25,100,32
m-l_10_10_0.25_1_,10,10,22,0.00341796875,0,0.0,m,l,10,10,1,0.25,100,34
m-l_10_10_0.25_2_,10,10,17,0.0028657913208007812,0,0.0,m,l,10,10,2,0.25,100,36
m-l_10_10_0.25_3_,10,10,16,0.0026650428771972656,0,0.0,m,l,10,10,3,0.25,100,36
m-l_10_10_0.25_4_,10,10,26,0.004333019256591797,0,0.0,m,l,10,10,4,0.25,100,38
m-l_10_10_0.25_5_,10,10,21,0.00447392463684082,0,0.0,m,l,10,10,5,0.25,100,53
m-m_10_10_0.25_1_,10,10,18,0.0020160675048828125,0,0.0,m,m,10,10,1,0.25,100,34
m-m_10_10_0.25_2_,10,10,17,0.002399921417236328,0,0.0,m,m,10,10,2,0.25,100,34
m-m_10_10_0.25_3_,10,10,17,0.002444028854370117,1,0.1,m,m,10,10,3,0.25,100,29
m-m_10_10_0.25_4_,10,10,13,0.0015208721160888672,0,0.0,m,m,10,10,4,0.25,100,34
m-m_10_10_0.25_5_,10,10,10,0.0014100074768066406,1,0.1,m,m,10,10,5,0.25,100,34
m-u_10_10_0.25_1_,10,10,18,0.002294778823852539,4,0.4,m,u,10,10,1,0.25,100,36
m-u_10_10_0.25_2_,10,10,24,0.0024869441986083984,3,0.3,m,u,10,10,2,0.25,100,26
m-u_10_10_0.25_3_,10,10,18,0.002988100051879883,1,0.1,m,u,10,10,3,0.25,100,39
m-u_10_10_0.25_4_,10,10,16,0.001725912094116211,0,0.0,m,u,10,10,4,0.25,100,27
m-u_10_10_0.25_5_,10,10,24,0.002366781234741211,5,0.5,m,u,10,10,5,0.25,100,32
u-l_10_10_0.25_1_,10,10,15,0.0023097991943359375,0,0.0,u,l,10,10,1,0.25,100,32
u-l_10_10_0.25_2_,10,10,10,0.0011789798736572266,0,0.0,u,l,10,10,2,0.25,100,21
u-l_10_10_0.25_3_,10,10,16,0.0026607513427734375,0,0.0,u,l,10,10,3,0.25,100,39
u-l_10_10_0.25_4_,10,10,11,0.001506805419921875,0,0.0,u,l,10,10,4,0.25,100,27
u-l_10_10_0.25_5_,10,10,13,0.002645254135131836,0,0.0,u,l,10,10,5,0.25,100,46
u-m_10_10_0.25_1_,10,10,13,0.001445770263671875,0,0.0,u,m,10,10,1,0.25,100,32
u-m_10_10_0.25_2_,10,10,12,0.0019538402557373047,0,0.0,u,m,10,10,2,0.25,100,27
u-m_10_10_0.25_3_,10,10,14,0.0021309852600097656,0,0.0,u,m,10,10,3,0.25,100,39
u-m_10_10_0.25_4_,10,10,7,0.0007479190826416016,0,0.0,u,m,10,10,4,0.25,100,26
u-m_10_10_0.25_5_,10,10,10,0.0012691020965576172,0,0.0,u,m,10,10,5,0.25,100,36
u-u_10_10_0.25_1_,10,10,20,0.0029180049896240234,4,0.4,u,u,10,10,1,0.25,100,38
u-u_10_10_0.25_2_,10,10,12,0.0013298988342285156,0,0.0,u,u,10,10,2,0.25,100,30
u-u_10_10_0.25_3_,10,10,11,0.001834869384765625,0,0.0,u,u,10,10,3,0.25,100,41
u-u_10_10_0.25_4_,10,10,7,0.0006620883941650391,0,0.0,u,u,10,10,4,0.25,100,30
u-u_10_10_0.25_5_,10,10,14,0.002118349075317383,0,0.0,u,u,10,10,5,0.25,100,38
l-l_10_10_0.5_1_,10,10,18,0.0033431053161621094,0,0.0,l,l,10,10,1,0.5,100,43
l-l_10_10_0.5_2_,10,10,14,0.0027341842651367188,0,0.0,l,l,10,10,2,0.5,100,42
l-l_10_10_0.5_3_,10,10,11,0.0015940666198730469,0,0.0,l,l,10,10,3,0.5,100,28
l-l_10_10_0.5_4_,10,10,19,0.003343820571899414,0,0.0,l,l,10,10,4,0.5,100,42
l-l_10_10_0.5_5_,10,10,12,0.0023839473724365234,0,0.0,l,l,10,10,5,0.5,100,43
l-m_10_10_0.5_1_,10,10,24,0.0049898624420166016,0,0.0,l,m,10,10,1,0.5,100,53
l-m_10_10_0.5_2_,10,10,16,0.002399921417236328,0,0.0,l,m,10,10,2,0.5,100,38
l-m_10_10_0.5_3_,10,10,19,0.003165006637573242,0,0.0,l,m,10,10,3,0.5,100,36
l-m_10_10_0.5_4_,10,10,25,0.0036101341247558594,0,0.0,l,m,10,10,4,0.5,100,36
l-m_10_10_0.5_5_,10,10,13,0.0017712116241455078,0,0.0,l,m,10,10,5,0.5,100,34
l-u_10_10_0.5_1_,10,10,26,0.003779172897338867,1,0.1,l,u,10,10,1,0.5,100,46
l-u_10_10_0.5_2_,10,10,15,0.0015349388122558594,2,0.2,l,u,10,10,2,0.5,100,27
l-u_10_10_0.5_3_,10,10,15,0.002412080764770508,1,0.1,l,u,10,10,3,0.5,100,39
l-u_10_10_0.5_4_,10,10,23,0.002522706985473633,6,0.6,l,u,10,10,4,0.5,100,21
l-u_10_10_0.5_5_,10,10,10,0.0011532306671142578,0,0.0,l,u,10,10,5,0.5,100,32
m-l_10_10_0.5_1_,10,10,22,0.003443002700805664,0,0.0,m,l,10,10,1,0.5,100,34
m-l_10_10_0.5_2_,10,10,17,0.002871990203857422,0,0.0,m,l,10,10,2,0.5,100,36
m-l_10_10_0.5_3_,10,10,16,0.0026128292083740234,0,0.0,m,l,10,10,3,0.5,100,36
m-l_10_10_0.5_4_,10,10,26,0.0042688846588134766,0,0.0,m,l,10,10,4,0.5,100,38
m-l_10_10_0.5_5_,10,10,21,0.004498004913330078,0,0.0,m,l,10,10,5,0.5,100,53
m-m_10_10_0.5_1_,10,10,19,0.0022439956665039062,0,0.0,m,m,10,10,1,0.5,100,34
m-m_10_10_0.5_2_,10,10,26,0.004029035568237305,0,0.0,m,m,10,10,2,0.5,100,34
m-m_10_10_0.5_3_,10,10,17,0.0023992061614990234,1,0.1,m,m,10,10,3,0.5,100,29
m-m_10_10_0.5_4_,10,10,14,0.0019309520721435547,0,0.0,m,m,10,10,4,0.5,100,34
m-m_10_10_0.5_5_,10,10,10,0.0015299320220947266,1,0.1,m,m,10,10,5,0.5,100,34
